GD Note,TYPE,TITLE,DESCRIPTION,LATITUDE,LONGITUDE,DELAY,EXTERNALID,UUID,,Desired Altitude,Alert on Map Screen,AR Marker,Coordinates for maps,AREA,CODE,INCIDENT_ID,PRIORITY
Low Wire reported in Seaside,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.5285322,-122.33205553,178,UTIL1346,,,50 ft,YES,YES,"37.5285322, -122.33205553",Seaside,UTIL,UTIL1346,Medium
Low Wire reported in Suburban,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.53802824,-122.32212361,23,UTIL1347,,,50 ft,YES,YES,"37.53802824, -122.32212361",Suburban,UTIL,UTIL1347,Low
Transformer Explosion reported in Central,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.53544443,-122.33267038,58,UTIL1348,,,50 ft,YES,YES,"37.53544443, -122.33267038",Central,UTIL,UTIL1348,High
Substation Fire reported in Downtown,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.52869246,-122.33519176,62,UTIL1349,,,50 ft,YES,YES,"37.52869246, -122.33519176",Downtown,UTIL,UTIL1349,Critical
Tree Encroachment reported in Rural,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.52797021,-122.3280773,174,UTIL1350,,,50 ft,YES,YES,"37.52797021, -122.3280773",Rural,UTIL,UTIL1350,Medium
Substation Fire reported in Seaside,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.53603795,-122.3308171,36,UTIL1351,,,50 ft,YES,YES,"37.53603795, -122.3308171",Seaside,UTIL,UTIL1351,High
Substation Fire reported in Downtown,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.52545722,-122.32181167,87,UTIL1352,,,50 ft,YES,YES,"37.52545722, -122.32181167",Downtown,UTIL,UTIL1352,Low
Equipment Failure reported in Central,INCIDENT,Equipment Failure,Component failure at distribution station,37.53920673,-122.33893488,134,UTIL1353,,,50 ft,YES,YES,"37.53920673, -122.33893488",Central,UTIL,UTIL1353,Medium
Transformer Explosion reported in Suburban,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.52520573,-122.33623162,149,UTIL1354,,,50 ft,YES,YES,"37.52520573, -122.33623162",Suburban,UTIL,UTIL1354,Low
Meter Inspection reported in Suburban,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.52337153,-122.33141354,182,UTIL1355,,,50 ft,YES,YES,"37.52337153, -122.33141354",Suburban,UTIL,UTIL1355,Critical
Transformer Failure reported in Downtown,INCIDENT,Transformer Failure,Multiple customers without power,37.53795083,-122.32276192,76,UTIL1356,,,50 ft,YES,YES,"37.53795083, -122.32276192",Downtown,UTIL,UTIL1356,High
Voltage Irregularity reported in Rural,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.52426641,-122.32451753,59,UTIL1357,,,50 ft,YES,YES,"37.52426641, -122.32451753",Rural,UTIL,UTIL1357,High
Low Wire reported in Industrial,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.53481457,-122.32354788,68,UTIL1358,,,50 ft,YES,YES,"37.53481457, -122.32354788",Industrial,UTIL,UTIL1358,Critical
Cable Fault reported in Central,INCIDENT,Cable Fault,Underground cable suspected fault,37.53588612,-122.32282818,105,UTIL1359,,,50 ft,YES,YES,"37.53588612, -122.32282818",Central,UTIL,UTIL1359,Low
Low Wire reported in Uptown,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.52359832,-122.33255876,96,UTIL1360,,,50 ft,YES,YES,"37.52359832, -122.33255876",Uptown,UTIL,UTIL1360,High
Storm Damage reported in Suburban,INCIDENT,Storm Damage,Power infrastructure damaged by severe weather,37.53506991,-122.33129224,133,UTIL1361,,,50 ft,YES,YES,"37.53506991, -122.33129224",Suburban,UTIL,UTIL1361,High
Substation Fire reported in Industrial,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.52588327,-122.33278769,157,UTIL1362,,,50 ft,YES,YES,"37.52588327, -122.33278769",Industrial,UTIL,UTIL1362,Medium
Cable Fault reported in Central,INCIDENT,Cable Fault,Underground cable suspected fault,37.53671777,-122.32641284,175,UTIL1363,,,50 ft,YES,YES,"37.53671777, -122.32641284",Central,UTIL,UTIL1363,Low
Voltage Irregularity reported in Rural,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.52490661,-122.32176802,195,UTIL1364,,,50 ft,YES,YES,"37.52490661, -122.32176802",Rural,UTIL,UTIL1364,Medium
Downed Power Line reported in Uptown,INCIDENT,Downed Power Line,Live wire reported on the ground,37.52086336,-122.32530635,136,UTIL1365,,,50 ft,YES,YES,"37.52086336, -122.32530635",Uptown,UTIL,UTIL1365,Low
Meter Inspection reported in Central,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.53290915,-122.33520597,38,UTIL1366,,,50 ft,YES,YES,"37.53290915, -122.33520597",Central,UTIL,UTIL1366,Medium
Gas Leak reported in Rural,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.53335646,-122.33106754,149,UTIL1367,,,50 ft,YES,YES,"37.53335646, -122.33106754",Rural,UTIL,UTIL1367,Critical
Switch Malfunction reported in Central,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.52103527,-122.32700718,23,UTIL1368,,,50 ft,YES,YES,"37.52103527, -122.32700718",Central,UTIL,UTIL1368,Critical
Leaning Pole reported in Rural,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.53743452,-122.33841788,56,UTIL1369,,,50 ft,YES,YES,"37.53743452, -122.33841788",Rural,UTIL,UTIL1369,High
Equipment Failure reported in Central,INCIDENT,Equipment Failure,Component failure at distribution station,37.52404754,-122.33797055,172,UTIL1370,,,50 ft,YES,YES,"37.52404754, -122.33797055",Central,UTIL,UTIL1370,Low
Voltage Irregularity reported in Uptown,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.52900852,-122.33047242,94,UTIL1371,,,50 ft,YES,YES,"37.52900852, -122.33047242",Uptown,UTIL,UTIL1371,Critical
Transformer Failure reported in Suburban,INCIDENT,Transformer Failure,Multiple customers without power,37.53376996,-122.33369645,131,UTIL1372,,,50 ft,YES,YES,"37.53376996, -122.33369645",Suburban,UTIL,UTIL1372,Medium
Meter Inspection reported in Downtown,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.53403577,-122.32082478,71,UTIL1373,,,50 ft,YES,YES,"37.53403577, -122.32082478",Downtown,UTIL,UTIL1373,Medium
Meter Inspection reported in Industrial,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.53322482,-122.33563337,110,UTIL1374,,,50 ft,YES,YES,"37.53322482, -122.33563337",Industrial,UTIL,UTIL1374,Medium
Breaker Operation reported in Downtown,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.53621533,-122.33571555,70,UTIL1375,,,50 ft,YES,YES,"37.53621533, -122.33571555",Downtown,UTIL,UTIL1375,Low
Routine Inspection reported in Rural,INCIDENT,Routine Inspection,Scheduled maintenance check,37.52334654,-122.32950343,78,UTIL1376,,,50 ft,YES,YES,"37.52334654, -122.32950343",Rural,UTIL,UTIL1376,High
Leaning Pole reported in Industrial,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.53623433,-122.32833307,106,UTIL1377,,,50 ft,YES,YES,"37.53623433, -122.32833307",Industrial,UTIL,UTIL1377,Critical
Tree Encroachment reported in Downtown,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.53957093,-122.32819887,114,UTIL1378,,,50 ft,YES,YES,"37.53957093, -122.32819887",Downtown,UTIL,UTIL1378,Critical
Transformer Explosion reported in Suburban,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.53340049,-122.32295045,122,UTIL1379,,,50 ft,YES,YES,"37.53340049, -122.32295045",Suburban,UTIL,UTIL1379,Critical
Transformer Failure reported in Seaside,INCIDENT,Transformer Failure,Multiple customers without power,37.53557627,-122.32171462,153,UTIL1380,,,50 ft,YES,YES,"37.53557627, -122.32171462",Seaside,UTIL,UTIL1380,Critical
Breaker Operation reported in Downtown,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.53840751,-122.33640889,126,UTIL1381,,,50 ft,YES,YES,"37.53840751, -122.33640889",Downtown,UTIL,UTIL1381,Low
Storm Damage reported in Industrial,INCIDENT,Storm Damage,Power infrastructure damaged by severe weather,37.52541798,-122.3368789,106,UTIL1382,,,50 ft,YES,YES,"37.52541798, -122.3368789",Industrial,UTIL,UTIL1382,Critical
Equipment Failure reported in Rural,INCIDENT,Equipment Failure,Component failure at distribution station,37.52048481,-122.33911875,171,UTIL1383,,,50 ft,YES,YES,"37.52048481, -122.33911875",Rural,UTIL,UTIL1383,High
Gas Leak reported in Central,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.53415359,-122.33520174,108,UTIL1384,,,50 ft,YES,YES,"37.53415359, -122.33520174",Central,UTIL,UTIL1384,Medium
Transformer Failure reported in Central,INCIDENT,Transformer Failure,Multiple customers without power,37.521965,-122.33486655,118,UTIL1385,,,50 ft,YES,YES,"37.521965, -122.33486655",Central,UTIL,UTIL1385,High
Gas Leak reported in Uptown,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.52225295,-122.32583028,0,UTIL1386,,,50 ft,YES,YES,"37.52225295, -122.32583028",Uptown,UTIL,UTIL1386,Critical
Routine Inspection reported in Uptown,INCIDENT,Routine Inspection,Scheduled maintenance check,37.52584678,-122.33608593,57,UTIL1387,,,50 ft,YES,YES,"37.52584678, -122.33608593",Uptown,UTIL,UTIL1387,Critical
Downed Power Line reported in Suburban,INCIDENT,Downed Power Line,Live wire reported on the ground,37.52407258,-122.32195178,0,UTIL1388,,,50 ft,YES,YES,"37.52407258, -122.32195178",Suburban,UTIL,UTIL1388,Medium
Fuse Blown reported in Seaside,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.5320351,-122.33981072,188,UTIL1389,,,50 ft,YES,YES,"37.5320351, -122.33981072",Seaside,UTIL,UTIL1389,Low
Fuse Blown reported in Rural,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.53368515,-122.33382493,65,UTIL1390,,,50 ft,YES,YES,"37.53368515, -122.33382493",Rural,UTIL,UTIL1390,Critical
Car Hit Pole reported in Industrial,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.53260849,-122.32491705,122,UTIL1391,,,50 ft,YES,YES,"37.53260849, -122.32491705",Industrial,UTIL,UTIL1391,High
Breaker Operation reported in Suburban,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.53949429,-122.33833441,47,UTIL1392,,,50 ft,YES,YES,"37.53949429, -122.33833441",Suburban,UTIL,UTIL1392,High
Storm Damage reported in Suburban,INCIDENT,Storm Damage,Power infrastructure damaged by severe weather,37.53693712,-122.33813114,130,UTIL1393,,,50 ft,YES,YES,"37.53693712, -122.33813114",Suburban,UTIL,UTIL1393,Medium
Voltage Irregularity reported in Downtown,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.52755208,-122.32297295,27,UTIL1394,,,50 ft,YES,YES,"37.52755208, -122.32297295",Downtown,UTIL,UTIL1394,Medium
Switch Malfunction reported in Seaside,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.5394585,-122.33159348,193,UTIL1395,,,50 ft,YES,YES,"37.5394585, -122.33159348",Seaside,UTIL,UTIL1395,High
Meter Inspection reported in Rural,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.53561592,-122.33377633,94,UTIL1396,,,50 ft,YES,YES,"37.53561592, -122.33377633",Rural,UTIL,UTIL1396,Critical
Switch Malfunction reported in Uptown,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.53568545,-122.33188055,42,UTIL1397,,,50 ft,YES,YES,"37.53568545, -122.33188055",Uptown,UTIL,UTIL1397,Medium
Gas Leak reported in Uptown,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.5378441,-122.33387903,21,UTIL1398,,,50 ft,YES,YES,"37.5378441, -122.33387903",Uptown,UTIL,UTIL1398,Medium
Breaker Operation reported in Central,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.52112275,-122.33696696,187,UTIL1399,,,50 ft,YES,YES,"37.52112275, -122.33696696",Central,UTIL,UTIL1399,High
Downed Power Line reported in Seaside,INCIDENT,Downed Power Line,Live wire reported on the ground,37.5325569,-122.33061053,92,UTIL1400,,,50 ft,YES,YES,"37.5325569, -122.33061053",Seaside,UTIL,UTIL1400,Medium
Substation Fire reported in Uptown,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.53746066,-122.33269862,135,UTIL1401,,,50 ft,YES,YES,"37.53746066, -122.33269862",Uptown,UTIL,UTIL1401,Critical
Breaker Operation reported in Suburban,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.52628454,-122.32856481,112,UTIL1402,,,50 ft,YES,YES,"37.52628454, -122.32856481",Suburban,UTIL,UTIL1402,Medium
Switch Malfunction reported in Industrial,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.52023426,-122.33840149,56,UTIL1403,,,50 ft,YES,YES,"37.52023426, -122.33840149",Industrial,UTIL,UTIL1403,Low
Routine Inspection reported in Suburban,INCIDENT,Routine Inspection,Scheduled maintenance check,37.53925244,-122.32549721,133,UTIL1404,,,50 ft,YES,YES,"37.53925244, -122.32549721",Suburban,UTIL,UTIL1404,Low
Cable Fault reported in Seaside,INCIDENT,Cable Fault,Underground cable suspected fault,37.5261611,-122.32672327,162,UTIL1405,,,50 ft,YES,YES,"37.5261611, -122.32672327",Seaside,UTIL,UTIL1405,Low
Voltage Irregularity reported in Suburban,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.53145266,-122.33644355,119,UTIL1406,,,50 ft,YES,YES,"37.53145266, -122.33644355",Suburban,UTIL,UTIL1406,Critical
Low Wire reported in Suburban,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.52018816,-122.32730912,189,UTIL1407,,,50 ft,YES,YES,"37.52018816, -122.32730912",Suburban,UTIL,UTIL1407,Medium
Leaning Pole reported in Seaside,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.53722566,-122.3294584,100,UTIL1408,,,50 ft,YES,YES,"37.53722566, -122.3294584",Seaside,UTIL,UTIL1408,Medium
Fuse Blown reported in Suburban,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.52244149,-122.33821635,64,UTIL1409,,,50 ft,YES,YES,"37.52244149, -122.33821635",Suburban,UTIL,UTIL1409,High
Voltage Irregularity reported in Suburban,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.52750863,-122.33510453,172,UTIL1410,,,50 ft,YES,YES,"37.52750863, -122.33510453",Suburban,UTIL,UTIL1410,High
Routine Inspection reported in Downtown,INCIDENT,Routine Inspection,Scheduled maintenance check,37.53345804,-122.33138797,176,UTIL1411,,,50 ft,YES,YES,"37.53345804, -122.33138797",Downtown,UTIL,UTIL1411,Medium
Substation Fire reported in Uptown,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.52546618,-122.32041039,115,UTIL1412,,,50 ft,YES,YES,"37.52546618, -122.32041039",Uptown,UTIL,UTIL1412,Medium
Leaning Pole reported in Central,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.52623104,-122.33274769,15,UTIL1413,,,50 ft,YES,YES,"37.52623104, -122.33274769",Central,UTIL,UTIL1413,Critical
Downed Power Line reported in Uptown,INCIDENT,Downed Power Line,Live wire reported on the ground,37.53753428,-122.32587249,171,UTIL1414,,,50 ft,YES,YES,"37.53753428, -122.32587249",Uptown,UTIL,UTIL1414,Medium
Equipment Failure reported in Suburban,INCIDENT,Equipment Failure,Component failure at distribution station,37.52341967,-122.32306225,134,UTIL1415,,,50 ft,YES,YES,"37.52341967, -122.32306225",Suburban,UTIL,UTIL1415,High
Switch Malfunction reported in Seaside,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.53572925,-122.33989398,174,UTIL1416,,,50 ft,YES,YES,"37.53572925, -122.33989398",Seaside,UTIL,UTIL1416,Medium
Switch Malfunction reported in Uptown,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.53940832,-122.32798326,75,UTIL1417,,,50 ft,YES,YES,"37.53940832, -122.32798326",Uptown,UTIL,UTIL1417,Medium
Downed Power Line reported in Rural,INCIDENT,Downed Power Line,Live wire reported on the ground,37.52708964,-122.32705353,152,UTIL1418,,,50 ft,YES,YES,"37.52708964, -122.32705353",Rural,UTIL,UTIL1418,Medium
Downed Power Line reported in Uptown,INCIDENT,Downed Power Line,Live wire reported on the ground,37.53373851,-122.33379511,92,UTIL1419,,,50 ft,YES,YES,"37.53373851, -122.33379511",Uptown,UTIL,UTIL1419,High
Routine Inspection reported in Seaside,INCIDENT,Routine Inspection,Scheduled maintenance check,37.52223187,-122.32014608,121,UTIL1420,,,50 ft,YES,YES,"37.52223187, -122.32014608",Seaside,UTIL,UTIL1420,Low
Transformer Failure reported in Industrial,INCIDENT,Transformer Failure,Multiple customers without power,37.5330274,-122.32930866,76,UTIL1421,,,50 ft,YES,YES,"37.5330274, -122.32930866",Industrial,UTIL,UTIL1421,Critical
Substation Fire reported in Seaside,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.52714679,-122.33844855,173,UTIL1422,,,50 ft,YES,YES,"37.52714679, -122.33844855",Seaside,UTIL,UTIL1422,High
Transformer Failure reported in Suburban,INCIDENT,Transformer Failure,Multiple customers without power,37.53082132,-122.32227534,3,UTIL1423,,,50 ft,YES,YES,"37.53082132, -122.32227534",Suburban,UTIL,UTIL1423,High
Breaker Operation reported in Industrial,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.53222565,-122.33667783,95,UTIL1424,,,50 ft,YES,YES,"37.53222565, -122.33667783",Industrial,UTIL,UTIL1424,Critical
Car Hit Pole reported in Rural,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.53326276,-122.32112662,143,UTIL1425,,,50 ft,YES,YES,"37.53326276, -122.32112662",Rural,UTIL,UTIL1425,Low
Downed Power Line reported in Industrial,INCIDENT,Downed Power Line,Live wire reported on the ground,37.52215381,-122.33849406,166,UTIL1426,,,50 ft,YES,YES,"37.52215381, -122.33849406",Industrial,UTIL,UTIL1426,Low
Meter Inspection reported in Suburban,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.52770194,-122.32817884,161,UTIL1427,,,50 ft,YES,YES,"37.52770194, -122.32817884",Suburban,UTIL,UTIL1427,High
Cable Fault reported in Seaside,INCIDENT,Cable Fault,Underground cable suspected fault,37.53243343,-122.33060293,194,UTIL1428,,,50 ft,YES,YES,"37.53243343, -122.33060293",Seaside,UTIL,UTIL1428,High
Low Wire reported in Uptown,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.53638135,-122.3245514,53,UTIL1429,,,50 ft,YES,YES,"37.53638135, -122.3245514",Uptown,UTIL,UTIL1429,High
Voltage Irregularity reported in Downtown,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.53722539,-122.32442041,163,UTIL1430,,,50 ft,YES,YES,"37.53722539, -122.32442041",Downtown,UTIL,UTIL1430,Low
Low Wire reported in Central,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.53091499,-122.33861598,148,UTIL1431,,,50 ft,YES,YES,"37.53091499, -122.33861598",Central,UTIL,UTIL1431,Critical
Tree Encroachment reported in Uptown,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.52547015,-122.33249068,101,UTIL1432,,,50 ft,YES,YES,"37.52547015, -122.33249068",Uptown,UTIL,UTIL1432,Medium
Car Hit Pole reported in Industrial,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.52758384,-122.3374626,66,UTIL1433,,,50 ft,YES,YES,"37.52758384, -122.3374626",Industrial,UTIL,UTIL1433,Medium
Substation Fire reported in Seaside,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.53855829,-122.32155432,29,UTIL1434,,,50 ft,YES,YES,"37.53855829, -122.32155432",Seaside,UTIL,UTIL1434,Critical
Storm Damage reported in Suburban,INCIDENT,Storm Damage,Power infrastructure damaged by severe weather,37.52220483,-122.33539952,51,UTIL1435,,,50 ft,YES,YES,"37.52220483, -122.33539952",Suburban,UTIL,UTIL1435,High
Breaker Operation reported in Uptown,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.52654424,-122.33419148,181,UTIL1436,,,50 ft,YES,YES,"37.52654424, -122.33419148",Uptown,UTIL,UTIL1436,Medium
Transformer Failure reported in Uptown,INCIDENT,Transformer Failure,Multiple customers without power,37.53429962,-122.33950179,36,UTIL1437,,,50 ft,YES,YES,"37.53429962, -122.33950179",Uptown,UTIL,UTIL1437,Critical
Switch Malfunction reported in Uptown,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.52374126,-122.33121895,112,UTIL1438,,,50 ft,YES,YES,"37.52374126, -122.33121895",Uptown,UTIL,UTIL1438,Low
Transformer Failure reported in Suburban,INCIDENT,Transformer Failure,Multiple customers without power,37.53885751,-122.32843438,131,UTIL1439,,,50 ft,YES,YES,"37.53885751, -122.32843438",Suburban,UTIL,UTIL1439,Critical
Leaning Pole reported in Uptown,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.52753096,-122.32898078,180,UTIL1440,,,50 ft,YES,YES,"37.52753096, -122.32898078",Uptown,UTIL,UTIL1440,Low
Equipment Failure reported in Uptown,INCIDENT,Equipment Failure,Component failure at distribution station,37.53287759,-122.33246514,31,UTIL1441,,,50 ft,YES,YES,"37.53287759, -122.33246514",Uptown,UTIL,UTIL1441,Critical
Equipment Failure reported in Central,INCIDENT,Equipment Failure,Component failure at distribution station,37.52427642,-122.331974,159,UTIL1442,,,50 ft,YES,YES,"37.52427642, -122.331974",Central,UTIL,UTIL1442,Low
Voltage Irregularity reported in Uptown,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.52991773,-122.32652284,18,UTIL1443,,,50 ft,YES,YES,"37.52991773, -122.32652284",Uptown,UTIL,UTIL1443,High
Routine Inspection reported in Uptown,INCIDENT,Routine Inspection,Scheduled maintenance check,37.532362,-122.33393841,172,UTIL1444,,,50 ft,YES,YES,"37.532362, -122.33393841",Uptown,UTIL,UTIL1444,Critical
Car Hit Pole reported in Suburban,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.52466904,-122.33266394,118,UTIL1445,,,50 ft,YES,YES,"37.52466904, -122.33266394",Suburban,UTIL,UTIL1445,High
Breaker Operation reported in Central,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.52721787,-122.33422335,124,UTIL1446,,,50 ft,YES,YES,"37.52721787, -122.33422335",Central,UTIL,UTIL1446,Critical
Storm Damage reported in Seaside,INCIDENT,Storm Damage,Power infrastructure damaged by severe weather,37.535371,-122.3356407,190,UTIL1447,,,50 ft,YES,YES,"37.535371, -122.3356407",Seaside,UTIL,UTIL1447,Medium
Fuse Blown reported in Uptown,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.52238257,-122.32474037,20,UTIL1448,,,50 ft,YES,YES,"37.52238257, -122.32474037",Uptown,UTIL,UTIL1448,Low
Fuse Blown reported in Industrial,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.532079,-122.32556401,167,UTIL1449,,,50 ft,YES,YES,"37.532079, -122.32556401",Industrial,UTIL,UTIL1449,High
Voltage Irregularity reported in Downtown,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.52826508,-122.32495184,39,UTIL1450,,,50 ft,YES,YES,"37.52826508, -122.32495184",Downtown,UTIL,UTIL1450,High
Car Hit Pole reported in Seaside,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.52797725,-122.33521294,71,UTIL1451,,,50 ft,YES,YES,"37.52797725, -122.33521294",Seaside,UTIL,UTIL1451,Medium
Fuse Blown reported in Seaside,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.53790596,-122.33871286,121,UTIL1452,,,50 ft,YES,YES,"37.53790596, -122.33871286",Seaside,UTIL,UTIL1452,Critical
Leaning Pole reported in Downtown,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.52451371,-122.33693749,101,UTIL1453,,,50 ft,YES,YES,"37.52451371, -122.33693749",Downtown,UTIL,UTIL1453,Medium
Voltage Irregularity reported in Suburban,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.52579002,-122.33556125,176,UTIL1454,,,50 ft,YES,YES,"37.52579002, -122.33556125",Suburban,UTIL,UTIL1454,Critical
Gas Leak reported in Central,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.52717808,-122.32752081,12,UTIL1455,,,50 ft,YES,YES,"37.52717808, -122.32752081",Central,UTIL,UTIL1455,Medium
Fuse Blown reported in Uptown,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.53954096,-122.33341289,153,UTIL1456,,,50 ft,YES,YES,"37.53954096, -122.33341289",Uptown,UTIL,UTIL1456,Critical
Switch Malfunction reported in Seaside,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.53284012,-122.33509511,189,UTIL1457,,,50 ft,YES,YES,"37.53284012, -122.33509511",Seaside,UTIL,UTIL1457,Medium
Switch Malfunction reported in Downtown,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.52447225,-122.32520828,188,UTIL1458,,,50 ft,YES,YES,"37.52447225, -122.32520828",Downtown,UTIL,UTIL1458,Critical
Switch Malfunction reported in Central,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.52443795,-122.33910497,54,UTIL1459,,,50 ft,YES,YES,"37.52443795, -122.33910497",Central,UTIL,UTIL1459,Critical
Routine Inspection reported in Central,INCIDENT,Routine Inspection,Scheduled maintenance check,37.52569018,-122.32209795,21,UTIL1460,,,50 ft,YES,YES,"37.52569018, -122.32209795",Central,UTIL,UTIL1460,Critical
Transformer Explosion reported in Downtown,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.52200642,-122.33775752,9,UTIL1461,,,50 ft,YES,YES,"37.52200642, -122.33775752",Downtown,UTIL,UTIL1461,Low
Fuse Blown reported in Seaside,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.52878781,-122.33073084,169,UTIL1462,,,50 ft,YES,YES,"37.52878781, -122.33073084",Seaside,UTIL,UTIL1462,Critical
Switch Malfunction reported in Downtown,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.52915171,-122.32350479,167,UTIL1463,,,50 ft,YES,YES,"37.52915171, -122.32350479",Downtown,UTIL,UTIL1463,Critical
Routine Inspection reported in Industrial,INCIDENT,Routine Inspection,Scheduled maintenance check,37.53709201,-122.33524103,20,UTIL1464,,,50 ft,YES,YES,"37.53709201, -122.33524103",Industrial,UTIL,UTIL1464,Low
Leaning Pole reported in Seaside,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.53503412,-122.33604352,124,UTIL1465,,,50 ft,YES,YES,"37.53503412, -122.33604352",Seaside,UTIL,UTIL1465,Medium
Leaning Pole reported in Industrial,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.5319094,-122.3320574,181,UTIL1466,,,50 ft,YES,YES,"37.5319094, -122.3320574",Industrial,UTIL,UTIL1466,Medium
Substation Fire reported in Downtown,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.52313508,-122.32992805,130,UTIL1467,,,50 ft,YES,YES,"37.52313508, -122.32992805",Downtown,UTIL,UTIL1467,High
Leaning Pole reported in Rural,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.53771125,-122.33210342,185,UTIL1468,,,50 ft,YES,YES,"37.53771125, -122.33210342",Rural,UTIL,UTIL1468,Low
