GD Note,TYPE,TITLE,DESCRIPTION,LATITUDE,LONGITUDE,DELAY,EXTERNALID,UUID,Desired Altitude,Alert on Map Screen,AR Marker,Coordinates for maps,AREA,CODE,INCIDENT_ID,PRIORITY
Unattended Luggage reported in Seaside,INCIDENT,10-26 - Unattended Luggage,Reported unattended luggage at location. Additional details unknown.,37.53236499,-122.33837526,,,,50 ft,YES,YES,"37.53236499, -122.33837526",Seaside,10-26,INC1163,Medium
Trespassing Reported reported in Downtown,INCIDENT,10-16 - Trespassing Reported,Reported trespassing reported at location. Additional details unknown.,37.532203,-122.33399637,,,,50 ft,YES,YES,"37.532203, -122.33399637",Downtown,10-16,INC1164,Critical
Tornado Warning reported in Downtown,INCIDENT,10-39 - Tornado Warning,Reported tornado warning at location. Additional details unknown.,37.52005558,-122.32344941,,,,50 ft,YES,YES,"37.52005558, -122.32344941",Downtown,10-39,INC1165,Low
Animal Attack reported in Rural,INCIDENT,10-20 - Animal Attack,Reported animal attack at location. Additional details unknown.,37.5267738,-122.33115971,,,,50 ft,YES,YES,"37.5267738, -122.33115971",Rural,10-20,INC1166,Medium
Medical Emergency - Critical reported in Industrial,INCIDENT,10-09 - Medical Emergency - Critical,Reported medical emergency - critical at location. Additional details unknown.,37.53349804,-122.33919642,,,,50 ft,YES,YES,"37.53349804, -122.33919642",Industrial,10-09,INC1167,Medium
Suspicious Person reported in Rural,INCIDENT,10-27 - Suspicious Person,Reported suspicious person at location. Additional details unknown.,37.53738946,-122.33562074,,,,50 ft,YES,YES,"37.53738946, -122.33562074",Rural,10-27,INC1168,High
Lost Child reported in Central,INCIDENT,10-30 - Lost Child,Reported lost child at location. Additional details unknown.,37.52816376,-122.3360542,,,,50 ft,YES,YES,"37.52816376, -122.3360542",Central,10-30,INC1169,Critical
Medical Emergency - Critical reported in Downtown,INCIDENT,10-09 - Medical Emergency - Critical,Reported medical emergency - critical at location. Additional details unknown.,37.52926438,-122.32845024,,,,50 ft,YES,YES,"37.52926438, -122.32845024",Downtown,10-09,INC1170,Medium
Armed Robbery reported in Downtown,INCIDENT,10-03 - Armed Robbery,Reported armed robbery at location. Additional details unknown.,37.53161918,-122.32803031,,,,50 ft,YES,YES,"37.53161918, -122.32803031",Downtown,10-03,INC1171,High
Unattended Luggage reported in Central,INCIDENT,10-26 - Unattended Luggage,Reported unattended luggage at location. Additional details unknown.,37.5257573,-122.33535796,,,,50 ft,YES,YES,"37.5257573, -122.33535796",Central,10-26,INC1172,Medium
Medical Emergency - Minor reported in Uptown,INCIDENT,10-10 - Medical Emergency - Minor,Reported medical emergency - minor at location. Additional details unknown.,37.53941968,-122.3395321,,,,50 ft,YES,YES,"37.53941968, -122.3395321",Uptown,10-10,INC1173,Medium
Hostage Situation reported in Downtown,INCIDENT,10-05 - Hostage Situation,Reported hostage situation at location. Additional details unknown.,37.52407319,-122.33138818,,,,50 ft,YES,YES,"37.52407319, -122.33138818",Downtown,10-05,INC1174,Low
Unattended Luggage reported in Uptown,INCIDENT,10-26 - Unattended Luggage,Reported unattended luggage at location. Additional details unknown.,37.52723431,-122.33233532,,,,50 ft,YES,YES,"37.52723431, -122.33233532",Uptown,10-26,INC1175,Low
Gunshots Heard reported in Seaside,INCIDENT,10-13 - Gunshots Heard,Reported gunshots heard at location. Additional details unknown.,37.53009836,-122.337207,,,,50 ft,YES,YES,"37.53009836, -122.337207",Seaside,10-13,INC1176,Medium
Radiation Alert reported in Downtown,INCIDENT,10-36 - Radiation Alert,Reported radiation alert at location. Additional details unknown.,37.52105813,-122.33563244,,,,50 ft,YES,YES,"37.52105813, -122.33563244",Downtown,10-36,INC1177,High
Burglary in Progress reported in Industrial,INCIDENT,10-02 - Burglary in Progress,Reported burglary in progress at location. Additional details unknown.,37.52037338,-122.32555144,,,,50 ft,YES,YES,"37.52037338, -122.32555144",Industrial,10-02,INC1178,High
Traffic Stop - High Risk reported in Central,INCIDENT,10-04 - Traffic Stop - High Risk,Reported traffic stop - high risk at location. Additional details unknown.,37.53088429,-122.32791867,,,,50 ft,YES,YES,"37.53088429, -122.32791867",Central,10-04,INC1179,High
Underage Drinking reported in Central,INCIDENT,10-29 - Underage Drinking,Reported underage drinking at location. Additional details unknown.,37.53970961,-122.32425944,,,,50 ft,YES,YES,"37.53970961, -122.32425944",Central,10-29,INC1180,High
Flooding Reported reported in Uptown,INCIDENT,10-40 - Flooding Reported,Reported flooding reported at location. Additional details unknown.,37.5312892,-122.32376533,,,,50 ft,YES,YES,"37.5312892, -122.32376533",Uptown,10-40,INC1181,Medium
Request for Backup reported in Rural,INCIDENT,10-01 - Request for Backup,Reported request for backup at location. Additional details unknown.,37.52048599,-122.33924736,,,,50 ft,YES,YES,"37.52048599, -122.33924736",Rural,10-01,INC1182,Low
Lost Child reported in Industrial,INCIDENT,10-30 - Lost Child,Reported lost child at location. Additional details unknown.,37.53761085,-122.32635207,,,,50 ft,YES,YES,"37.53761085, -122.32635207",Industrial,10-30,INC1183,Critical
Boating Accident reported in Central,INCIDENT,10-34 - Boating Accident,Reported boating accident at location. Additional details unknown.,37.52675426,-122.33385224,,,,50 ft,YES,YES,"37.52675426, -122.33385224",Central,10-34,INC1184,Low
Domestic Dispute reported in Rural,INCIDENT,10-19 - Domestic Dispute,Reported domestic dispute at location. Additional details unknown.,37.53813383,-122.33256197,,,,50 ft,YES,YES,"37.53813383, -122.33256197",Rural,10-19,INC1185,Medium
Vehicle Pursuit reported in Uptown,INCIDENT,10-22 - Vehicle Pursuit,Reported vehicle pursuit at location. Additional details unknown.,37.52258506,-122.32153175,,,,50 ft,YES,YES,"37.52258506, -122.32153175",Uptown,10-22,INC1186,High
Severe Weather Alert reported in Industrial,INCIDENT,10-43 - Severe Weather Alert,Reported severe weather alert at location. Additional details unknown.,37.52514214,-122.33523404,,,,50 ft,YES,YES,"37.52514214, -122.33523404",Industrial,10-43,INC1187,High
Attempted Suicide reported in Central,INCIDENT,10-31 - Attempted Suicide,Reported attempted suicide at location. Additional details unknown.,37.53447226,-122.32928192,,,,50 ft,YES,YES,"37.53447226, -122.32928192",Central,10-31,INC1188,High
Underage Drinking reported in Rural,INCIDENT,10-29 - Underage Drinking,Reported underage drinking at location. Additional details unknown.,37.53608874,-122.32311447,,,,50 ft,YES,YES,"37.53608874, -122.32311447",Rural,10-29,INC1189,Medium
Radiation Alert reported in Downtown,INCIDENT,10-36 - Radiation Alert,Reported radiation alert at location. Additional details unknown.,37.53798494,-122.32275134,,,,50 ft,YES,YES,"37.53798494, -122.32275134",Downtown,10-36,INC1190,Critical
Flooding Reported reported in Rural,INCIDENT,10-40 - Flooding Reported,Reported flooding reported at location. Additional details unknown.,37.52844804,-122.33548503,,,,50 ft,YES,YES,"37.52844804, -122.33548503",Rural,10-40,INC1191,Low
Domestic Dispute reported in Central,INCIDENT,10-19 - Domestic Dispute,Reported domestic dispute at location. Additional details unknown.,37.52176548,-122.32218284,,,,50 ft,YES,YES,"37.52176548, -122.32218284",Central,10-19,INC1192,High
Attempted Kidnapping reported in Industrial,INCIDENT,10-15 - Attempted Kidnapping,Reported attempted kidnapping at location. Additional details unknown.,37.52565883,-122.33060172,,,,50 ft,YES,YES,"37.52565883, -122.33060172",Industrial,10-15,INC1193,High
Lost Child reported in Seaside,INCIDENT,10-30 - Lost Child,Reported lost child at location. Additional details unknown.,37.53125754,-122.33576689,,,,50 ft,YES,YES,"37.53125754, -122.33576689",Seaside,10-30,INC1194,Low
Earthquake Damage reported in Rural,INCIDENT,10-45 - Earthquake Damage,Reported earthquake damage at location. Additional details unknown.,37.52977474,-122.32429996,,,,50 ft,YES,YES,"37.52977474, -122.32429996",Rural,10-45,INC1195,Medium
Gunshots Heard reported in Seaside,INCIDENT,10-13 - Gunshots Heard,Reported gunshots heard at location. Additional details unknown.,37.52960878,-122.33673775,,,,50 ft,YES,YES,"37.52960878, -122.33673775",Seaside,10-13,INC1196,High
Attempted Kidnapping reported in Rural,INCIDENT,10-15 - Attempted Kidnapping,Reported attempted kidnapping at location. Additional details unknown.,37.5396918,-122.33867983,,,,50 ft,YES,YES,"37.5396918, -122.33867983",Rural,10-15,INC1197,High
Lost Child reported in Rural,INCIDENT,10-30 - Lost Child,Reported lost child at location. Additional details unknown.,37.5336471,-122.33009576,,,,50 ft,YES,YES,"37.5336471, -122.33009576",Rural,10-30,INC1198,Critical
Sinkhole Formation reported in Seaside,INCIDENT,10-44 - Sinkhole Formation,Reported sinkhole formation at location. Additional details unknown.,37.53976736,-122.3331065,,,,50 ft,YES,YES,"37.53976736, -122.3331065",Seaside,10-44,INC1199,Critical
Hit-and-Run Accident reported in Central,INCIDENT,10-23 - Hit-and-Run Accident,Reported hit-and-run accident at location. Additional details unknown.,37.52916778,-122.3304157,,,,50 ft,YES,YES,"37.52916778, -122.3304157",Central,10-23,INC1200,Low
Tornado Warning reported in Seaside,INCIDENT,10-39 - Tornado Warning,Reported tornado warning at location. Additional details unknown.,37.5395268,-122.32891296,,,,50 ft,YES,YES,"37.5395268, -122.32891296",Seaside,10-39,INC1201,Critical
Illegal Dumping reported in Downtown,INCIDENT,10-24 - Illegal Dumping,Reported illegal dumping at location. Additional details unknown.,37.53114168,-122.32982998,,,,50 ft,YES,YES,"37.53114168, -122.32982998",Downtown,10-24,INC1202,Low
Cyber Crime reported in Suburban,INCIDENT,10-32 - Cyber Crime,Reported cyber crime at location. Additional details unknown.,37.53852508,-122.33487934,,,,50 ft,YES,YES,"37.53852508, -122.33487934",Suburban,10-32,INC1203,Low
Elevator Rescue Required reported in Suburban,INCIDENT,10-49 - Elevator Rescue Required,Reported elevator rescue required at location. Additional details unknown.,37.53953894,-122.33802374,,,,50 ft,YES,YES,"37.53953894, -122.33802374",Suburban,10-49,INC1204,Low
Radiation Alert reported in Suburban,INCIDENT,10-36 - Radiation Alert,Reported radiation alert at location. Additional details unknown.,37.5306539,-122.33465792,,,,50 ft,YES,YES,"37.5306539, -122.33465792",Suburban,10-36,INC1205,Critical
Suspicious Package reported in Central,INCIDENT,10-12 - Suspicious Package,Reported suspicious package at location. Additional details unknown.,37.53047524,-122.3290149,,,,50 ft,YES,YES,"37.53047524, -122.3290149",Central,10-12,INC1206,High
Collapsed Building reported in Central,INCIDENT,10-48 - Collapsed Building,Reported collapsed building at location. Additional details unknown.,37.53909095,-122.33535659,,,,50 ft,YES,YES,"37.53909095, -122.33535659",Central,10-48,INC1207,Critical
Gas Leak reported in Downtown,INCIDENT,10-08 - Gas Leak,Reported gas leak at location. Additional details unknown.,37.53167725,-122.3292071,,,,50 ft,YES,YES,"37.53167725, -122.3292071",Downtown,10-08,INC1208,Low
Request for Backup reported in Industrial,INCIDENT,10-01 - Request for Backup,Reported request for backup at location. Additional details unknown.,37.53192636,-122.33458553,,,,50 ft,YES,YES,"37.53192636, -122.33458553",Industrial,10-01,INC1209,Low
Noise Complaint reported in Downtown,INCIDENT,10-28 - Noise Complaint,Reported noise complaint at location. Additional details unknown.,37.53024909,-122.32563382,,,,50 ft,YES,YES,"37.53024909, -122.32563382",Downtown,10-28,INC1210,Low
Structure Fire reported in Industrial,INCIDENT,10-07 - Structure Fire,Reported structure fire at location. Additional details unknown.,37.53173483,-122.33510707,,,,50 ft,YES,YES,"37.53173483, -122.33510707",Industrial,10-07,INC1211,Critical
Vehicle Breakdown reported in Seaside,INCIDENT,10-50 - Vehicle Breakdown,Reported vehicle breakdown at location. Additional details unknown.,37.5297236,-122.32501937,,,,50 ft,YES,YES,"37.5297236, -122.32501937",Seaside,10-50,INC1212,High
Structure Fire reported in Rural,INCIDENT,10-07 - Structure Fire,Reported structure fire at location. Additional details unknown.,37.53831514,-122.33073856,,,,50 ft,YES,YES,"37.53831514, -122.33073856",Rural,10-07,INC1213,Critical
Request for Backup reported in Suburban,INCIDENT,10-01 - Request for Backup,Reported request for backup at location. Additional details unknown.,37.52167054,-122.33899616,,,,50 ft,YES,YES,"37.52167054, -122.33899616",Suburban,10-01,INC1214,Low
Burglary in Progress reported in Industrial,INCIDENT,10-02 - Burglary in Progress,Reported burglary in progress at location. Additional details unknown.,37.52387766,-122.335425,,,,50 ft,YES,YES,"37.52387766, -122.335425",Industrial,10-02,INC1215,High
Attempted Suicide reported in Rural,INCIDENT,10-31 - Attempted Suicide,Reported attempted suicide at location. Additional details unknown.,37.52762737,-122.32047211,,,,50 ft,YES,YES,"37.52762737, -122.32047211",Rural,10-31,INC1216,Medium
Attempted Suicide reported in Central,INCIDENT,10-31 - Attempted Suicide,Reported attempted suicide at location. Additional details unknown.,37.53550568,-122.32813476,,,,50 ft,YES,YES,"37.53550568, -122.32813476",Central,10-31,INC1217,Medium
Structure Fire reported in Industrial,INCIDENT,10-07 - Structure Fire,Reported structure fire at location. Additional details unknown.,37.52884136,-122.32416372,,,,50 ft,YES,YES,"37.52884136, -122.32416372",Industrial,10-07,INC1218,Critical
Trespassing Reported reported in Seaside,INCIDENT,10-16 - Trespassing Reported,Reported trespassing reported at location. Additional details unknown.,37.52232828,-122.3264185,,,,50 ft,YES,YES,"37.52232828, -122.3264185",Seaside,10-16,INC1219,Low
Trespassing Reported reported in Suburban,INCIDENT,10-16 - Trespassing Reported,Reported trespassing reported at location. Additional details unknown.,37.53812571,-122.32703357,,,,50 ft,YES,YES,"37.53812571, -122.32703357",Suburban,10-16,INC1220,Low
Domestic Dispute reported in Seaside,INCIDENT,10-19 - Domestic Dispute,Reported domestic dispute at location. Additional details unknown.,37.5268868,-122.32350383,,,,50 ft,YES,YES,"37.5268868, -122.32350383",Seaside,10-19,INC1221,Low
Mudslide Reported reported in Downtown,INCIDENT,10-38 - Mudslide Reported,Reported mudslide reported at location. Additional details unknown.,37.53402128,-122.33745218,,,,50 ft,YES,YES,"37.53402128, -122.33745218",Downtown,10-38,INC1222,Critical
Gas Leak reported in Seaside,INCIDENT,10-08 - Gas Leak,Reported gas leak at location. Additional details unknown.,37.53080894,-122.33861725,,,,50 ft,YES,YES,"37.53080894, -122.33861725",Seaside,10-08,INC1223,Low
Hostage Situation reported in Industrial,INCIDENT,10-05 - Hostage Situation,Reported hostage situation at location. Additional details unknown.,37.52835873,-122.32163393,,,,50 ft,YES,YES,"37.52835873, -122.32163393",Industrial,10-05,INC1224,Medium
Flooding Reported reported in Uptown,INCIDENT,10-40 - Flooding Reported,Reported flooding reported at location. Additional details unknown.,37.5388689,-122.32379413,,,,50 ft,YES,YES,"37.5388689, -122.32379413",Uptown,10-40,INC1225,Medium
Explosion Reported reported in Seaside,INCIDENT,10-06 - Explosion Reported,Reported explosion reported at location. Additional details unknown.,37.52223505,-122.32413423,,,,50 ft,YES,YES,"37.52223505, -122.32413423",Seaside,10-06,INC1226,Critical
Drowning Incident reported in Central,INCIDENT,10-47 - Drowning Incident,Reported drowning incident at location. Additional details unknown.,37.53538255,-122.3314449,,,,50 ft,YES,YES,"37.53538255, -122.3314449",Central,10-47,INC1227,Critical
Wildfire Spotted reported in Downtown,INCIDENT,10-46 - Wildfire Spotted,Reported wildfire spotted at location. Additional details unknown.,37.53866056,-122.32917401,,,,50 ft,YES,YES,"37.53866056, -122.32917401",Downtown,10-46,INC1228,Medium
Attempted Suicide reported in Rural,INCIDENT,10-31 - Attempted Suicide,Reported attempted suicide at location. Additional details unknown.,37.52151842,-122.32884678,,,,50 ft,YES,YES,"37.52151842, -122.32884678",Rural,10-31,INC1229,High
Avalanche Risk reported in Uptown,INCIDENT,10-41 - Avalanche Risk,Reported avalanche risk at location. Additional details unknown.,37.53758288,-122.33204155,,,,50 ft,YES,YES,"37.53758288, -122.33204155",Uptown,10-41,INC1230,Medium
Armed Robbery reported in Rural,INCIDENT,10-03 - Armed Robbery,Reported armed robbery at location. Additional details unknown.,37.52969507,-122.33485913,,,,50 ft,YES,YES,"37.52969507, -122.33485913",Rural,10-03,INC1231,Low
Hostage Situation reported in Downtown,INCIDENT,10-05 - Hostage Situation,Reported hostage situation at location. Additional details unknown.,37.53345141,-122.32165805,,,,50 ft,YES,YES,"37.53345141, -122.32165805",Downtown,10-05,INC1232,Low
Explosion Reported reported in Uptown,INCIDENT,10-06 - Explosion Reported,Reported explosion reported at location. Additional details unknown.,37.52015782,-122.33500827,,,,50 ft,YES,YES,"37.52015782, -122.33500827",Uptown,10-06,INC1233,Medium
Sinkhole Formation reported in Suburban,INCIDENT,10-44 - Sinkhole Formation,Reported sinkhole formation at location. Additional details unknown.,37.52444155,-122.33657502,,,,50 ft,YES,YES,"37.52444155, -122.33657502",Suburban,10-44,INC1234,Low
Tornado Warning reported in Rural,INCIDENT,10-39 - Tornado Warning,Reported tornado warning at location. Additional details unknown.,37.53777842,-122.32267541,,,,50 ft,YES,YES,"37.53777842, -122.32267541",Rural,10-39,INC1235,Low
Underage Drinking reported in Industrial,INCIDENT,10-29 - Underage Drinking,Reported underage drinking at location. Additional details unknown.,37.52053632,-122.33205344,,,,50 ft,YES,YES,"37.52053632, -122.33205344",Industrial,10-29,INC1236,Critical
Radiation Alert reported in Uptown,INCIDENT,10-36 - Radiation Alert,Reported radiation alert at location. Additional details unknown.,37.52665252,-122.33454093,,,,50 ft,YES,YES,"37.52665252, -122.33454093",Uptown,10-36,INC1237,Medium
Structure Fire reported in Seaside,INCIDENT,10-07 - Structure Fire,Reported structure fire at location. Additional details unknown.,37.52404677,-122.32686645,,,,50 ft,YES,YES,"37.52404677, -122.32686645",Seaside,10-07,INC1238,High
Explosion Reported reported in Uptown,INCIDENT,10-06 - Explosion Reported,Reported explosion reported at location. Additional details unknown.,37.5232203,-122.32324075,,,,50 ft,YES,YES,"37.5232203, -122.32324075",Uptown,10-06,INC1239,Medium
Bridge Collapse reported in Rural,INCIDENT,10-37 - Bridge Collapse,Reported bridge collapse at location. Additional details unknown.,37.53799838,-122.32543144,,,,50 ft,YES,YES,"37.53799838, -122.32543144",Rural,10-37,INC1240,Critical
Unattended Luggage reported in Uptown,INCIDENT,10-26 - Unattended Luggage,Reported unattended luggage at location. Additional details unknown.,37.53809506,-122.33076541,,,,50 ft,YES,YES,"37.53809506, -122.33076541",Uptown,10-26,INC1241,Low
Noise Complaint reported in Suburban,INCIDENT,10-28 - Noise Complaint,Reported noise complaint at location. Additional details unknown.,37.53340348,-122.32298538,,,,50 ft,YES,YES,"37.53340348, -122.32298538",Suburban,10-28,INC1242,High
Suspicious Person reported in Downtown,INCIDENT,10-27 - Suspicious Person,Reported suspicious person at location. Additional details unknown.,37.52836469,-122.32849291,,,,50 ft,YES,YES,"37.52836469, -122.32849291",Downtown,10-27,INC1243,High
Wildfire Spotted reported in Downtown,INCIDENT,10-46 - Wildfire Spotted,Reported wildfire spotted at location. Additional details unknown.,37.53505402,-122.32303388,,,,50 ft,YES,YES,"37.53505402, -122.32303388",Downtown,10-46,INC1244,Medium
Explosion Reported reported in Suburban,INCIDENT,10-06 - Explosion Reported,Reported explosion reported at location. Additional details unknown.,37.52126221,-122.33317966,,,,50 ft,YES,YES,"37.52126221, -122.33317966",Suburban,10-06,INC1245,High
Armed Robbery reported in Rural,INCIDENT,10-03 - Armed Robbery,Reported armed robbery at location. Additional details unknown.,37.5287234,-122.32558414,,,,50 ft,YES,YES,"37.5287234, -122.32558414",Rural,10-03,INC1246,Critical
Avalanche Risk reported in Uptown,INCIDENT,10-41 - Avalanche Risk,Reported avalanche risk at location. Additional details unknown.,37.52064787,-122.32005075,,,,50 ft,YES,YES,"37.52064787, -122.32005075",Uptown,10-41,INC1247,Medium
Landslide Reported reported in Central,INCIDENT,10-42 - Landslide Reported,Reported landslide reported at location. Additional details unknown.,37.52099552,-122.32063546,,,,50 ft,YES,YES,"37.52099552, -122.32063546",Central,10-42,INC1248,Medium
Structure Fire reported in Seaside,INCIDENT,10-07 - Structure Fire,Reported structure fire at location. Additional details unknown.,37.53173223,-122.32412786,,,,50 ft,YES,YES,"37.53173223, -122.32412786",Seaside,10-07,INC1249,Medium
Mudslide Reported reported in Rural,INCIDENT,10-38 - Mudslide Reported,Reported mudslide reported at location. Additional details unknown.,37.53768219,-122.32019781,,,,50 ft,YES,YES,"37.53768219, -122.32019781",Rural,10-38,INC1250,Medium
Medical Emergency - Critical reported in Uptown,INCIDENT,10-09 - Medical Emergency - Critical,Reported medical emergency - critical at location. Additional details unknown.,37.52798076,-122.32119841,,,,50 ft,YES,YES,"37.52798076, -122.32119841",Uptown,10-09,INC1251,Critical
Cyber Crime reported in Central,INCIDENT,10-32 - Cyber Crime,Reported cyber crime at location. Additional details unknown.,37.52015424,-122.32914586,,,,50 ft,YES,YES,"37.52015424, -122.32914586",Central,10-32,INC1252,Low
Traffic Stop - High Risk reported in Central,INCIDENT,10-04 - Traffic Stop - High Risk,Reported traffic stop - high risk at location. Additional details unknown.,37.53134047,-122.32616279,,,,50 ft,YES,YES,"37.53134047, -122.32616279",Central,10-04,INC1253,High
Lost Child reported in Downtown,INCIDENT,10-30 - Lost Child,Reported lost child at location. Additional details unknown.,37.53240992,-122.3281174,,,,50 ft,YES,YES,"37.53240992, -122.3281174",Downtown,10-30,INC1254,Medium
Avalanche Risk reported in Downtown,INCIDENT,10-41 - Avalanche Risk,Reported avalanche risk at location. Additional details unknown.,37.52500338,-122.32137559,,,,50 ft,YES,YES,"37.52500338, -122.32137559",Downtown,10-41,INC1255,High
Mudslide Reported reported in Uptown,INCIDENT,10-38 - Mudslide Reported,Reported mudslide reported at location. Additional details unknown.,37.53967645,-122.323834,,,,50 ft,YES,YES,"37.53967645, -122.323834",Uptown,10-38,INC1256,Medium
Vehicle Pursuit reported in Industrial,INCIDENT,10-22 - Vehicle Pursuit,Reported vehicle pursuit at location. Additional details unknown.,37.5375608,-122.32099813,,,,50 ft,YES,YES,"37.5375608, -122.32099813",Industrial,10-22,INC1257,Critical
Structure Fire reported in Industrial,INCIDENT,10-07 - Structure Fire,Reported structure fire at location. Additional details unknown.,37.53403813,-122.32062428,,,,50 ft,YES,YES,"37.53403813, -122.32062428",Industrial,10-07,INC1258,Medium
Sinkhole Formation reported in Suburban,INCIDENT,10-44 - Sinkhole Formation,Reported sinkhole formation at location. Additional details unknown.,37.5385907,-122.33455902,,,,50 ft,YES,YES,"37.5385907, -122.33455902",Suburban,10-44,INC1259,Low
Collapsed Building reported in Suburban,INCIDENT,10-48 - Collapsed Building,Reported collapsed building at location. Additional details unknown.,37.52990447,-122.33250359,,,,50 ft,YES,YES,"37.52990447, -122.33250359",Suburban,10-48,INC1260,Low
Noise Complaint reported in Industrial,INCIDENT,10-28 - Noise Complaint,Reported noise complaint at location. Additional details unknown.,37.53626817,-122.32063149,,,,50 ft,YES,YES,"37.53626817, -122.32063149",Industrial,10-28,INC1261,Critical
Structure Fire reported in Industrial,INCIDENT,10-07 - Structure Fire,Reported structure fire at location. Additional details unknown.,37.53479929,-122.3305573,,,,50 ft,YES,YES,"37.53479929, -122.3305573",Industrial,10-07,INC1262,Critical
Explosion Reported reported in Seaside,INCIDENT,10-06 - Explosion Reported,Reported explosion reported at location. Additional details unknown.,37.52873965,-122.33537594,,,,50 ft,YES,YES,"37.52873965, -122.33537594",Seaside,10-06,INC1263,Medium
Vehicle Breakdown reported in Uptown,INCIDENT,10-50 - Vehicle Breakdown,Reported vehicle breakdown at location. Additional details unknown.,37.5268808,-122.33954503,,,,50 ft,YES,YES,"37.5268808, -122.33954503",Uptown,10-50,INC1264,Medium
Elevator Rescue Required reported in Suburban,INCIDENT,10-49 - Elevator Rescue Required,Reported elevator rescue required at location. Additional details unknown.,37.53898372,-122.33440469,,,,50 ft,YES,YES,"37.53898372, -122.33440469",Suburban,10-49,INC1265,High
Cyber Crime reported in Uptown,INCIDENT,10-32 - Cyber Crime,Reported cyber crime at location. Additional details unknown.,37.53032624,-122.33258194,,,,50 ft,YES,YES,"37.53032624, -122.33258194",Uptown,10-32,INC1266,Critical
Severe Weather Alert reported in Central,INCIDENT,10-43 - Severe Weather Alert,Reported severe weather alert at location. Additional details unknown.,37.53335417,-122.32886189,,,,50 ft,YES,YES,"37.53335417, -122.32886189",Central,10-43,INC1267,Medium
Earthquake Damage reported in Central,INCIDENT,10-45 - Earthquake Damage,Reported earthquake damage at location. Additional details unknown.,37.5397881,-122.32978453,,,,50 ft,YES,YES,"37.5397881, -122.32978453",Central,10-45,INC1268,Medium
Vandalism in Progress reported in Central,INCIDENT,10-14 - Vandalism in Progress,Reported vandalism in progress at location. Additional details unknown.,37.5377986,-122.33281844,,,,50 ft,YES,YES,"37.5377986, -122.33281844",Central,10-14,INC1269,Medium
Public Intoxication reported in Uptown,INCIDENT,10-25 - Public Intoxication,Reported public intoxication at location. Additional details unknown.,37.52194193,-122.33028677,,,,50 ft,YES,YES,"37.52194193, -122.33028677",Uptown,10-25,INC1270,Medium
Underage Drinking reported in Uptown,INCIDENT,10-29 - Underage Drinking,Reported underage drinking at location. Additional details unknown.,37.53511025,-122.32865002,,,,50 ft,YES,YES,"37.53511025, -122.32865002",Uptown,10-29,INC1271,Critical
Wildfire Spotted reported in Central,INCIDENT,10-46 - Wildfire Spotted,Reported wildfire spotted at location. Additional details unknown.,37.53812355,-122.33294786,,,,50 ft,YES,YES,"37.53812355, -122.33294786",Central,10-46,INC1272,Medium
Severe Weather Alert reported in Downtown,INCIDENT,10-43 - Severe Weather Alert,Reported severe weather alert at location. Additional details unknown.,37.53002878,-122.33227494,,,,50 ft,YES,YES,"37.53002878, -122.33227494",Downtown,10-43,INC1273,Critical
Wildfire Spotted reported in Seaside,INCIDENT,10-46 - Wildfire Spotted,Reported wildfire spotted at location. Additional details unknown.,37.53258539,-122.32248695,,,,50 ft,YES,YES,"37.53258539, -122.32248695",Seaside,10-46,INC1274,Medium
Bridge Collapse reported in Industrial,INCIDENT,10-37 - Bridge Collapse,Reported bridge collapse at location. Additional details unknown.,37.52655576,-122.32148156,,,,50 ft,YES,YES,"37.52655576, -122.32148156",Industrial,10-37,INC1275,Low
Wildfire Spotted reported in Suburban,INCIDENT,10-46 - Wildfire Spotted,Reported wildfire spotted at location. Additional details unknown.,37.53644722,-122.3342483,,,,50 ft,YES,YES,"37.53644722, -122.3342483",Suburban,10-46,INC1276,Medium
Unattended Luggage reported in Downtown,INCIDENT,10-26 - Unattended Luggage,Reported unattended luggage at location. Additional details unknown.,37.53902371,-122.33979128,,,,50 ft,YES,YES,"37.53902371, -122.33979128",Downtown,10-26,INC1277,Medium
Hit-and-Run Accident reported in Downtown,INCIDENT,10-23 - Hit-and-Run Accident,Reported hit-and-run accident at location. Additional details unknown.,37.52765333,-122.32577853,,,,50 ft,YES,YES,"37.52765333, -122.32577853",Downtown,10-23,INC1278,High
Mudslide Reported reported in Downtown,INCIDENT,10-38 - Mudslide Reported,Reported mudslide reported at location. Additional details unknown.,37.52609734,-122.33348863,,,,50 ft,YES,YES,"37.52609734, -122.33348863",Downtown,10-38,INC1279,Medium
Hit-and-Run Accident reported in Suburban,INCIDENT,10-23 - Hit-and-Run Accident,Reported hit-and-run accident at location. Additional details unknown.,37.53262123,-122.33244827,,,,50 ft,YES,YES,"37.53262123, -122.33244827",Suburban,10-23,INC1280,High
Drug Activity Reported reported in Industrial,INCIDENT,10-11 - Drug Activity Reported,Reported drug activity reported at location. Additional details unknown.,37.53582286,-122.32551042,,,,50 ft,YES,YES,"37.53582286, -122.32551042",Industrial,10-11,INC1281,Critical
Sinkhole Formation reported in Suburban,INCIDENT,10-44 - Sinkhole Formation,Reported sinkhole formation at location. Additional details unknown.,37.52668412,-122.32614986,,,,50 ft,YES,YES,"37.52668412, -122.32614986",Suburban,10-44,INC1282,Low
Medical Emergency - Critical reported in Central,INCIDENT,10-09 - Medical Emergency - Critical,Reported medical emergency - critical at location. Additional details unknown.,37.52764806,-122.32977553,,,,50 ft,YES,YES,"37.52764806, -122.32977553",Central,10-09,INC1283,Low
